"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2107516";"BUDRALAZINE";"BUDRALAZINE";"Small molecule";"0";"240.31";"1";"1";"2.81";"53.40";"3";"1";"0";"2";"Y";"0.64";"6.00";"2.21";"2.67";"1.76";"2";"MOL";"0";"18";"4";"1";"0";"240.1375";"ACID";"C14H16N4";"CC(C)=C/C(C)=N/N=c1/[nH]ncc2ccccc12"
"CHEMBL21241";"GW7647";"GW-7647";"Small molecule";"0";"502.77";"83";"237";"7.28";"69.64";"3";"2";"2";"12";"N";"0.23";"4.18";"None";"7.29";"4.24";"1";"MOL";"-1";"35";"5";"2";"2";"502.3229";"ACID";"C29H46N2O3S";"CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O"
"CHEMBL1880739";"GW305074X";"GW305074X";"Small molecule";"0";"520.95";"212";"473";"5.01";"49.33";"2";"2";"2";"1";"N";"0.41";"6.65";"None";"5.43";"4.62";"2";"MOL";"-1";"21";"3";"2";"2";"518.7967";"NEUTRAL";"C15H8Br2INO2";"O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1"
"CHEMBL3560769";"TUAMINOHEPTANE SULFATE";"TUAMINOHEPTANE SULFATE|Tuamine Sulfate";"Small molecule";"0";"328.52";"2";"3";"1.91";"26.02";"1";"1";"0";"4";"N";"0.56";"None";"10.43";"2.00";"-0.73";"0";"MOL";"0";"8";"1";"2";"0";"115.1361";"BASE";"C14H36N2O4S";"CCCCCC(C)N.CCCCCC(C)N.O=S(=O)(O)O"
"CHEMBL1200745";"OXPRENOLOL HYDROCHLORIDE";"APSOLOX|BA-39,089|LARACOR|OXPRENOLOL HYDROCHLORIDE|OXYPRENIX EXCEL 160|PARITANE|SLOW-PREN|SLOW-TRASICOR|TRASICOR|TRASICOR RET";"Small molecule";"4";"301.81";"7";"15";"1.99";"50.72";"4";"2";"0";"9";"N";"0.67";"None";"9.67";"2.17";"-0.06";"1";"MOL";"0";"19";"4";"2";"0";"265.1678";"BASE";"C15H24ClNO3";"C=CCOc1ccccc1OCC(O)CNC(C)C.Cl"
"CHEMBL86882";"ETILEFRINE";"EFFORTIL|EFFORTIL DEPOT PERLONGETTEN|ETILEFRINE|ETILEFRINE HYDROCHLORIDE";"Small molecule";"4";"181.24";"11";"28";"1.04";"52.49";"3";"3";"0";"4";"N";"0.65";"9.10";"9.73";"0.23";"-1.07";"1";"MOL";"0";"13";"3";"3";"0";"181.1103";"BASE";"C10H15NO2";"CCNCC(O)c1cccc(O)c1"
"CHEMBL1390";"";"";"Small molecule";"0";"344.50";"138";"350";"4.08";"54.37";"3";"1";"0";"1";"N";"0.78";"12.70";"None";"3.69";"3.69";"0";"MOL";"-1";"25";"3";"1";"0";"344.2351";"NEUTRAL";"C22H32O3";"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C"
"CHEMBL1200338";"PINACIDIL";"PINACIDIL|PINDAC|Pinacidil hydrate";"Small molecule";"4";"263.35";"5";"9";"2.35";"73.10";"3";"2";"0";"2";"N";"0.48";"None";"5.61";"2.25";"2.24";"1";"MOL";"0";"18";"5";"2";"0";"245.1640";"NEUTRAL";"C13H21N5O";"CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C.O"
"CHEMBL1201765";"FESOTERODINE FUMARATE";"FESOTERODINE FUMARATE|SPM 8272|SPM 907|TOVIAZ";"Small molecule";"4";"527.66";"5";"5";"5.38";"49.77";"4";"1";"1";"10";"N";"0.42";"None";"10.64";"5.70";"2.65";"2";"MOL";"0";"30";"4";"1";"1";"411.2773";"BASE";"C30H41NO7";"CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O"
"CHEMBL4285883";"OLEANDRIN";"ANVIRZEL|NSC-692219|OLEANDRIN";"Small molecule";"1";"576.73";"6";"16";"3.68";"120.75";"9";"2";"1";"5";"N";"0.37";"9.52";"None";"2.95";"2.94";"0";"MOL";"0";"41";"9";"2";"1";"576.3298";"NEUTRAL";"C32H48O9";"CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)[C@@H](OC(C)=O)C[C@]5(O)[C@@H]4CC[C@@H]3C2)O[C@@H](C)[C@@H]1O"
