ChEMBL ID,standard_value
,
CHEMBL1579066,19900
,
CHEMBL1213327,68580
,
CHEMBL462997,1000000
,
CHEMBL290106,8147.15
,
CHEMBL1957266,77
,
CHEMBL410456,300
,
CHEMBL406381,170
,
CHEMBL325441,2700
,
CHEMBL535650,5623.41
,
CHEMBL403183,3000
,
CHEMBL393857,1280
,
CHEMBL1562779,12300
,
CHEMBL1201219,4500
,
CHEMBL235658,330
,
CHEMBL1628690,93
,
CHEMBL1200901,16620
,
CHEMBL168,5000
,
CHEMBL1200845,1.611
,
CHEMBL62136,30
,
CHEMBL73451,108420
,
CHEMBL314639,5000000
,
CHEMBL158507,0.7
,
CHEMBL367625,31
,
CHEMBL279898,1000000
,
CHEMBL294029,10370
,
CHEMBL371811,136000
,
CHEMBL68738,3900000
,
CHEMBL92870,2400
,
CHEMBL1079227,50000
,
CHEMBL280828,10000
,
CHEMBL440464,245470.89
,
CHEMBL27289,18920
,
CHEMBL31741,2
,
CHEMBL15060,0.062
,
CHEMBL276815,100000
,
CHEMBL31965,74
,
CHEMBL374107,2000
,
CHEMBL9298,80000
,
CHEMBL305195,9
,
CHEMBL157337,40000
,
CHEMBL202887,18
,
CHEMBL186526,180
,
CHEMBL211045,180
,
CHEMBL101326,28
,
CHEMBL1571863,100000
,
CHEMBL386389,130
,
CHEMBL14276,28000
,
CHEMBL280074,4600
,
CHEMBL276140,13
,
CHEMBL280802,15000000
,
CHEMBL267678,20
,
CHEMBL440084,94
,
CHEMBL15677,235700
,
CHEMBL3603847,3.2
,
CHEMBL456145,3100
,
CHEMBL458997,5
,
CHEMBL536151,16
,
CHEMBL552659,2410
,
CHEMBL1441646,14071.8
,
CHEMBL2046669,15000
,
CHEMBL351772,7
,
CHEMBL1388,234422.88
,
CHEMBL1885632,1000000
,
CHEMBL1256360,0.0417
,
CHEMBL262344,6100
,
CHEMBL255696,100000
,
CHEMBL244948,390000
,
CHEMBL3397300,0.62
,
CHEMBL324842,9000
,
CHEMBL1255646,12589.25
,
CHEMBL307261,100000
,
CHEMBL1200368,234800
,
CHEMBL2359165,5272.8
,
CHEMBL290487,3000
,
CHEMBL448741,12900
,
CHEMBL258921,426250
,
CHEMBL217354,6580
,
CHEMBL571700,1000000
,
CHEMBL1380480,66000
,
CHEMBL286020,500000
,
CHEMBL601661,0.21
,
CHEMBL332524,700000
,
CHEMBL617,2786
,
CHEMBL81977,19100
,
CHEMBL3087498,0.3
,
CHEMBL1769,24000
,
CHEMBL179945,800
,
CHEMBL254071,7500
,
CHEMBL513147,4.9
,
CHEMBL559569,770
,
CHEMBL247070,24
,
CHEMBL252642,2100
,
CHEMBL335231,12500
,
CHEMBL151,9570
,
CHEMBL63055,10000
,
CHEMBL1209431,30000
,
CHEMBL1565882,50000
,
CHEMBL2047811,481000
,
CHEMBL255787,18
,
CHEMBL1316,102
,
CHEMBL364005,7.4
,
CHEMBL191003,6.4
,
CHEMBL1173670,28.3
,
CHEMBL570841,66000
,
CHEMBL363160,27
,
CHEMBL19892,140
,
CHEMBL121305,7000
,
CHEMBL1626177,40000
,
CHEMBL354261,100000
,
CHEMBL3133036,10000
,
CHEMBL3785909,1
,
CHEMBL430405,7
,
CHEMBL3291084,49
,
CHEMBL1743359,100000
,
CHEMBL4226052,3.3
,
CHEMBL3989553,40
,
CHEMBL4303781,3176.87
,
CHEMBL1241028,75000
,
CHEMBL442016,230
,
CHEMBL73149,9.7
,
CHEMBL134915,37
,
CHEMBL2146753,240
,
CHEMBL3581907,18700
,
CHEMBL564131,12.59
,
CHEMBL3939289,9.3
,
CHEMBL447347,15000
,
CHEMBL510038,0.7
,
CHEMBL2051959,340
,
CHEMBL23957,13
,
CHEMBL1498,0.89
,
CHEMBL1255871,7943.28
,
CHEMBL371315,469410000
,
CHEMBL2335154,771
,
CHEMBL2017291,9900
,
CHEMBL2163792,11940
,
CHEMBL1738731,14
,
CHEMBL1922282,10000
,
CHEMBL266459,1630
,
CHEMBL393912,3100
,
CHEMBL1201220,133000
,
CHEMBL106092,82400
,
CHEMBL179242,280
,
CHEMBL1236620,530
,
CHEMBL1201041,133000
,
CHEMBL1562610,20000
,
CHEMBL2137199,220
,
CHEMBL129788,160
,
CHEMBL556399,0.3
,
CHEMBL262697,1000
,
CHEMBL220190,62500
,
CHEMBL576781,20
,
CHEMBL236036,3750
,
CHEMBL17645,2.9
,
CHEMBL259850,104
,
CHEMBL1195,24000
,
CHEMBL1103,28230
,
CHEMBL289233,0.005
,
CHEMBL273019,0.54
,
CHEMBL1574179,4860
,
CHEMBL96051,200
,
CHEMBL356066,32
,
CHEMBL4064277,38300
,
CHEMBL1475191,20000
,
CHEMBL3985592,5
,
CHEMBL527026,200000
,
CHEMBL46469,37000
,
CHEMBL3181957,1420
,
CHEMBL214253,5000
,
CHEMBL2107531,890000
,
CHEMBL514409,250
,
CHEMBL1620698,1000000
,
CHEMBL299749,40
,
CHEMBL522770,34
,
CHEMBL1363184,9050
,
CHEMBL2051956,30000
,
CHEMBL2337806,620
,
CHEMBL2385597,5
,
CHEMBL4303784,6.653
,
CHEMBL105462,6000
,
CHEMBL2106707,10000
,
CHEMBL551505,1000
,
CHEMBL1622371,687
,
CHEMBL255408,180
,
CHEMBL154745,9.3
,
CHEMBL2363137,52801.63
,
CHEMBL324162,6.5
,
CHEMBL3237589,1100
,
CHEMBL3577124,37
,
CHEMBL3221237,196
,
CHEMBL588046,6.9
,
CHEMBL9453,5000
,
CHEMBL456237,1770
,
CHEMBL487553,20000
,
CHEMBL515271,300
,
CHEMBL2110731,8444
,
CHEMBL2089255,6.4
,
CHEMBL2059865,12
,
CHEMBL1087641,9
,
CHEMBL1086484,10
,
CHEMBL1276678,10
,
CHEMBL2047943,4
,
CHEMBL513181,171
,
CHEMBL2313646,300
,
CHEMBL2426369,4700
,
CHEMBL609587,1000000
,
CHEMBL118687,2200
,
CHEMBL1224151,64
,
CHEMBL2419490,20000
,
CHEMBL1230584,1.1
,
CHEMBL148296,29
,
CHEMBL2325697,30000
,
CHEMBL591501,1790
,
CHEMBL2206431,17418.07
,
CHEMBL4073922,2
,
CHEMBL36326,37
,
CHEMBL211769,7000
,
CHEMBL2333945,100
,
CHEMBL2443044,10
,
CHEMBL3600873,0.064
,
CHEMBL1098726,2.5
,
CHEMBL285063,0.7
,
CHEMBL108335,18
,
CHEMBL279786,100
,
CHEMBL370438,320
,
CHEMBL3605457,3
,
CHEMBL98869,0.48
,
CHEMBL38763,0.019
,
CHEMBL296966,2580
,
CHEMBL296908,440
,
CHEMBL1270331,60000
,
CHEMBL49302,13
,
CHEMBL222301,21134.89
,
CHEMBL473136,82
,
CHEMBL1775048,250
,
CHEMBL2348501,43
,
CHEMBL372199,0.65
,
CHEMBL392068,0.03
,
CHEMBL294803,3500
,
CHEMBL332898,500
,
CHEMBL117225,5.9
,
CHEMBL367808,26
,
CHEMBL3770173,270
,
CHEMBL3901007,10000
,
CHEMBL2436978,30000
,
CHEMBL398412,440000
,
CHEMBL488755,33
,
CHEMBL3782004,5
,
CHEMBL2364622,630
,
CHEMBL201945,0.27
,
CHEMBL274789,17
,
CHEMBL3962672,11
,
CHEMBL4296718,130
,
CHEMBL14642,120
,
CHEMBL4088272,11455.13
,
CHEMBL255036,98
,
CHEMBL3112741,50000
,
CHEMBL4060831,22
,
CHEMBL3688339,0.4
,
CHEMBL1829304,6
,
CHEMBL573107,450
,
CHEMBL255683,16000
,
CHEMBL4060033,60
,
CHEMBL3335794,2.6
,
CHEMBL522502,11
,
CHEMBL2311933,100
,
CHEMBL593902,2800
,
CHEMBL4226570,22.92
,
CHEMBL4098253,1.7
,
CHEMBL1209885,10800
,
CHEMBL4241824,125.89
,
CHEMBL1672354,27
,
CHEMBL490153,10000
,
CHEMBL4294155,7340
,
CHEMBL611647,100000
,
CHEMBL2159498,8000
,
CHEMBL4303786,47863.01
,
CHEMBL9337,15.9
,
CHEMBL3109656,8800
,
CHEMBL355862,59
,
CHEMBL3105848,25000
,
CHEMBL2106951,1000000
,
CHEMBL45827,310
,
CHEMBL3822934,24920
,
CHEMBL477989,4600
,
CHEMBL3786230,3.6
,
CHEMBL448399,3070000
,
CHEMBL2144069,380
,
CHEMBL2093109,710
,
CHEMBL1200715,505700
,
CHEMBL2391504,600
,
CHEMBL504937,72000
,
CHEMBL472694,500
,
CHEMBL1179735,1000000
,
CHEMBL1552719,2550
,
CHEMBL3342553,7.7
,
CHEMBL52030,10000
,
CHEMBL1256027,10000
,
CHEMBL88588,16
,
CHEMBL319136,130
,
CHEMBL422942,10000
,
CHEMBL28854,7000
,
CHEMBL290814,30
,
CHEMBL472212,1.5
,
CHEMBL462394,1000000
,
CHEMBL1518572,1
,
CHEMBL598270,24730
,
CHEMBL1256776,10000
,
CHEMBL598952,10000
,
CHEMBL1200974,21375.91
,
CHEMBL1201006,12589.25
,
CHEMBL1201039,57430
,
CHEMBL1201154,41700
,
CHEMBL1201155,12589.25
,
CHEMBL1201160,932
,
CHEMBL1254577,1500
,
CHEMBL2179387,220
,
CHEMBL451635,2169000
,
CHEMBL2359059,23817.7
,
CHEMBL1255841,10000
,
CHEMBL1256665,10000
,
CHEMBL1256749,12589.25
,
CHEMBL588119,3705.8
,
CHEMBL301735,12000
,
CHEMBL54922,414000
,
CHEMBL311389,560
,
CHEMBL276679,29.5
,
CHEMBL279218,180000
,
CHEMBL158784,1.905
,
CHEMBL322970,380
,
CHEMBL1813256,43.25
,
CHEMBL2356801,8410.3
,
CHEMBL1159,800
,
CHEMBL207004,3.5
,
CHEMBL1200332,10000
,
CHEMBL210833,42
,
CHEMBL1829305,4
,
CHEMBL497802,4500
,
CHEMBL333826,10000
,
CHEMBL1404407,23320
,
CHEMBL1459534,1170
,
CHEMBL1200425,15848.93
,
CHEMBL3909511,33.3
,
CHEMBL15891,40738.03
,
CHEMBL108766,1995262.31
,
CHEMBL13662,116
,
CHEMBL7917,28600
,
CHEMBL33845,70000
,
CHEMBL404313,17000
,
CHEMBL607535,6700
,
CHEMBL1201392,68460
,
CHEMBL465208,72000
,
CHEMBL59898,6558.7
,
CHEMBL445332,100000
,
CHEMBL560895,10000
,
CHEMBL13786,2
,
CHEMBL1411333,260
,
CHEMBL1526084,5011.87
,
CHEMBL406845,61800
,
CHEMBL275809,88
,
CHEMBL562551,100
,
CHEMBL4087968,11020
,
CHEMBL1677,223
,
CHEMBL37312,9.3
,
CHEMBL10,590
,
CHEMBL82970,30000
,
CHEMBL238188,6530
,
CHEMBL57053,797000
,
CHEMBL297362,61000
,
CHEMBL2105813,33330
,
CHEMBL192451,19000
,
CHEMBL193093,11200
,
CHEMBL6273,133000
,
CHEMBL24646,17000
,
CHEMBL7939,700
,
CHEMBL573339,2.2
,
CHEMBL1459962,2630
,
CHEMBL101284,10000
,
CHEMBL84844,39000
,
CHEMBL88147,7.2
,
CHEMBL130880,658
,
CHEMBL828,940
,
CHEMBL9225,2
,
CHEMBL461,330000
,
CHEMBL275707,10000
,
CHEMBL303580,10000
,
